fr,tf,market,signal,time,tradeID,entry_price,stop_loss,take_profit,lots_size,risk_amount,spread_buffer_pips,risk_reward_ratio,top_price,bottom_price,max_profit,max_loss,realized_profit_loss,close_time,position_status,close_reason,take_profit_hit,stop_loss_hit,news_time,0.2,0.2_time,0.3,0.3_time,0.4,0.4_time,0.5,0.5_time,0.6,0.6_time,0.7,0.7_time,0.8,0.8_time,0.9,0.9_time,1.0,1.0_time,1.1,1.1_time,1.2,1.2_time,1.3,1.3_time,1.4,1.4_time,1.5,1.5_time,1.6,1.6_time,1.7,1.7_time,1.8,1.8_time,1.9,1.9_time,2.0,2.0_time,2.2,2.2_time,2.5,2.5_time,2.9,2.9_time
EUR_USD,5min,BEAR,SHORT,2026-01-16 07:30:05,437,1.16015,1.16053,1.15850,0.449,100.00,3,1.0:1,1.16060,1.15845,$76.39,$-20.22,$5.39,2026-01-16 13:00:02,CLOSED,EMERGENCY_CLOSE,NO,NO,,$20.00,2026-01-16 11:57:55,$30.00,2026-01-16 11:57:55,$40.00,2026-01-16 11:57:55,$50.00,2026-01-16 11:57:55,$60.00,2026-01-16 11:57:55,$70.00,2026-01-16 11:57:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR_USD,5min,BEAR,LONG,2026-01-16 13:00:08,471,1.16001,1.16001,1.16001,1.283,100.00,3,1.0:1,1.16023,1.15976,$28.22,-$32.07,$0.00,,OPEN,,NO,NO,,$20.00,2026-01-16 14:40:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
