market,signal,time,tradeID,entry_price,stop_loss_price,take_profit_price,position_lots,risk_amount,original_stop_pips,buffer_pips,adjusted_stop_pips,take_profit_ratio,highest_ratio,potential_profit,actual_profit,lowest_ratio,potential_loss,position_status,take_profit_hit,stop_loss_hit
BEAR,SHORT,N/A,338,1.16373,1.16434,1.16302,1.044,100.00,N/A,3,N/A,N/A,0.00,48.02,0.00,0.00,-13.57,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-15 04:56:56,358,1.16230,1.16414,1.16115,0.842,100.00,16.5,3,19.5,0.7,0.77,76.58,0.00,-0.20,-20.20,CLOSED,UNKNOWN,UNKNOWN
BEAR,LONG,2026-01-15 10:10:05,368,1.16147,1.16050,1.16227,0.651,100.00,16.1,3,19.1,0.5,0.13,13.03,0.00,-0.57,-57.32,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,N/A,386,1.16040,1.16134,1.15946,0.790,100.00,N/A,3,N/A,N/A,0.00,-22.92,0.00,0.00,-72.72,CLOSED,FALSE,FALSE
