time,open,high,low,close,volume
2025-11-26 22:00:00+00:00,1.32406,1.32506,1.32396,1.32482,9168
2025-11-27 01:00:00+00:00,1.32482,1.32628,1.32481,1.32558,24654
2025-11-27 04:00:00+00:00,1.32558,1.3269,1.32394,1.32431,22343
2025-11-27 07:00:00+00:00,1.32432,1.32454,1.32102,1.32138,20461
2025-11-27 10:00:00+00:00,1.32138,1.32348,1.3212,1.32334,18705
2025-11-27 13:00:00+00:00,1.32334,1.32524,1.32291,1.32512,21655
2025-11-27 16:00:00+00:00,1.32511,1.32552,1.32306,1.32348,9060
2025-11-27 19:00:00+00:00,1.32348,1.32404,1.32348,1.32393,7411
2025-11-27 22:00:00+00:00,1.32393,1.32446,1.3233,1.32362,14679
2025-11-28 01:00:00+00:00,1.32361,1.32453,1.32286,1.32384,50867
2025-11-28 04:00:00+00:00,1.32383,1.3244,1.32155,1.32164,41602
2025-11-28 07:00:00+00:00,1.32165,1.32282,1.32014,1.32084,88184
2025-11-28 10:00:00+00:00,1.32082,1.32213,1.32013,1.32177,95336
2025-11-28 13:00:00+00:00,1.32178,1.32548,1.32064,1.32513,80394
2025-11-28 16:00:00+00:00,1.32512,1.32522,1.32272,1.32378,38464
2025-11-28 19:00:00+00:00,1.32378,1.32468,1.32288,1.32318,18609
2025-11-30 22:00:00+00:00,1.32234,1.3249,1.32234,1.3237,16676
2025-12-01 01:00:00+00:00,1.32369,1.32468,1.32222,1.32307,39512
2025-12-01 04:00:00+00:00,1.32308,1.3234,1.3211,1.32159,31176
2025-12-01 07:00:00+00:00,1.3216,1.32366,1.32056,1.3233,43758
2025-12-01 10:00:00+00:00,1.3233,1.32704,1.32176,1.32674,37491
2025-12-01 13:00:00+00:00,1.32674,1.32758,1.32304,1.32521,50490
2025-12-01 16:00:00+00:00,1.32522,1.32528,1.32129,1.32154,37609
2025-12-01 19:00:00+00:00,1.32153,1.32154,1.32083,1.32127,17470
2025-12-01 22:00:00+00:00,1.3218,1.3218,1.32054,1.3207,6226
2025-12-02 01:00:00+00:00,1.32068,1.32182,1.32032,1.32172,15039
2025-12-02 04:00:00+00:00,1.32172,1.32218,1.32078,1.32129,12062
2025-12-02 07:00:00+00:00,1.3213,1.3221,1.32012,1.32108,30710
2025-12-02 10:00:00+00:00,1.32108,1.32125,1.31807,1.32092,28910
2025-12-02 13:00:00+00:00,1.32092,1.32136,1.31856,1.32011,39853
2025-12-02 16:00:00+00:00,1.32012,1.32042,1.31797,1.31977,27905
2025-12-02 19:00:00+00:00,1.31976,1.3216,1.31969,1.32136,13840
2025-12-02 22:00:00+00:00,1.3207,1.32228,1.32058,1.32218,10404
2025-12-03 01:00:00+00:00,1.32218,1.32324,1.32216,1.32292,18457
2025-12-03 04:00:00+00:00,1.32291,1.32428,1.3227,1.32427,19406
2025-12-03 07:00:00+00:00,1.32428,1.3285,1.32376,1.32786,34390
2025-12-03 10:00:00+00:00,1.32786,1.33042,1.3274,1.32991,25120
2025-12-03 13:00:00+00:00,1.32992,1.33316,1.32922,1.33312,46648
2025-12-03 16:00:00+00:00,1.33312,1.33534,1.33287,1.33482,29033
2025-12-03 19:00:00+00:00,1.33482,1.33545,1.33467,1.33531,13396
2025-12-03 22:00:00+00:00,1.33527,1.33532,1.33373,1.33398,8445
