time,open,high,low,close,volume
2025-12-25 22:00:00+00:00,1.17805,1.1792,1.17767,1.17859,16823
2025-12-26 01:00:00+00:00,1.1786,1.17936,1.17829,1.17844,9545
2025-12-26 04:00:00+00:00,1.17843,1.1788,1.17718,1.17766,8865
2025-12-26 07:00:00+00:00,1.17767,1.17778,1.17666,1.17703,16174
2025-12-26 10:00:00+00:00,1.17701,1.17825,1.1769,1.17816,12120
2025-12-26 13:00:00+00:00,1.17816,1.17968,1.17716,1.17772,19764
2025-12-26 16:00:00+00:00,1.17772,1.17796,1.17616,1.1772,27351
2025-12-26 19:00:00+00:00,1.17719,1.17818,1.17658,1.1771,9593
2025-12-28 22:00:00+00:00,1.1768,1.1784,1.17654,1.17797,7269
2025-12-29 01:00:00+00:00,1.17796,1.17864,1.17712,1.17734,8821
2025-12-29 04:00:00+00:00,1.17734,1.17734,1.17537,1.17696,8635
2025-12-29 07:00:00+00:00,1.17698,1.17891,1.17653,1.17764,18706
2025-12-29 10:00:00+00:00,1.17764,1.17802,1.17555,1.17619,16758
2025-12-29 13:00:00+00:00,1.17618,1.17888,1.17604,1.17678,26087
2025-12-29 16:00:00+00:00,1.17676,1.17681,1.17494,1.17574,17003
2025-12-29 19:00:00+00:00,1.17575,1.17748,1.1757,1.17726,7034
2025-12-29 22:00:00+00:00,1.1771,1.17754,1.17663,1.17729,7822
2025-12-30 01:00:00+00:00,1.17728,1.17766,1.17697,1.17726,6977
2025-12-30 04:00:00+00:00,1.17727,1.17798,1.17718,1.17786,5990
2025-12-30 07:00:00+00:00,1.17786,1.17786,1.17644,1.1769,13826
2025-12-30 10:00:00+00:00,1.17688,1.17776,1.17607,1.17618,11567
2025-12-30 13:00:00+00:00,1.17616,1.17679,1.17453,1.17598,21513
2025-12-30 16:00:00+00:00,1.17598,1.17668,1.17482,1.17501,13587
2025-12-30 19:00:00+00:00,1.17502,1.17529,1.17434,1.1748,6964
2025-12-30 22:00:00+00:00,1.17466,1.17492,1.17444,1.17473,2747
