time,open,high,low,close,volume
2026-01-06 10:12:00+00:00,1.17141,1.17141,1.17122,1.17122,73
2026-01-06 10:13:00+00:00,1.17119,1.17122,1.17112,1.17118,89
2026-01-06 10:14:00+00:00,1.17117,1.1712,1.17109,1.17109,60
2026-01-06 10:15:00+00:00,1.17109,1.17117,1.17102,1.17106,74
2026-01-06 10:16:00+00:00,1.17106,1.17106,1.17086,1.17088,56
2026-01-06 10:17:00+00:00,1.1709,1.17102,1.17082,1.17098,73
2026-01-06 10:18:00+00:00,1.17098,1.17124,1.17096,1.17119,87
2026-01-06 10:19:00+00:00,1.17121,1.17136,1.17118,1.17134,105
2026-01-06 10:20:00+00:00,1.17133,1.17136,1.1713,1.17136,81
2026-01-06 10:21:00+00:00,1.17134,1.17153,1.17134,1.17148,81
2026-01-06 10:22:00+00:00,1.17146,1.17151,1.17134,1.17151,73
2026-01-06 10:23:00+00:00,1.1715,1.1716,1.1715,1.17159,67
2026-01-06 10:24:00+00:00,1.1716,1.17162,1.17152,1.17152,97
2026-01-06 10:25:00+00:00,1.17152,1.1716,1.17143,1.17152,123
2026-01-06 10:26:00+00:00,1.17154,1.17154,1.17134,1.17144,54
2026-01-06 10:27:00+00:00,1.17144,1.17146,1.17141,1.17146,51
2026-01-06 10:28:00+00:00,1.17148,1.17151,1.17134,1.17138,63
2026-01-06 10:29:00+00:00,1.17138,1.17146,1.17137,1.17146,102
2026-01-06 10:30:00+00:00,1.17148,1.17148,1.17133,1.17134,57
2026-01-06 10:31:00+00:00,1.17132,1.17135,1.17128,1.1713,75
2026-01-06 10:32:00+00:00,1.17132,1.17134,1.17126,1.17133,79
2026-01-06 10:33:00+00:00,1.17132,1.17146,1.17132,1.17145,77
2026-01-06 10:34:00+00:00,1.17146,1.1715,1.17136,1.17136,63
2026-01-06 10:35:00+00:00,1.17138,1.17148,1.17138,1.17143,47
2026-01-06 10:36:00+00:00,1.17142,1.17155,1.1714,1.17144,74
2026-01-06 10:37:00+00:00,1.17144,1.17153,1.17143,1.1715,79
2026-01-06 10:38:00+00:00,1.17149,1.17162,1.17149,1.17162,56
2026-01-06 10:39:00+00:00,1.17161,1.1717,1.17158,1.1717,78
2026-01-06 10:40:00+00:00,1.1717,1.17172,1.17152,1.17161,72
2026-01-06 10:41:00+00:00,1.17162,1.17168,1.17146,1.17146,104
2026-01-06 10:42:00+00:00,1.17148,1.17148,1.17139,1.17142,68
2026-01-06 10:43:00+00:00,1.17144,1.17144,1.17122,1.1713,99
2026-01-06 10:44:00+00:00,1.1713,1.17143,1.17125,1.17126,71
2026-01-06 10:45:00+00:00,1.17125,1.17134,1.17123,1.17124,70
2026-01-06 10:46:00+00:00,1.17122,1.17136,1.17122,1.17135,68
2026-01-06 10:47:00+00:00,1.17136,1.17146,1.17124,1.17125,114
2026-01-06 10:48:00+00:00,1.17124,1.17126,1.17122,1.17124,47
2026-01-06 10:49:00+00:00,1.17122,1.17138,1.17118,1.17138,61
2026-01-06 10:50:00+00:00,1.1714,1.17144,1.17133,1.17134,66
2026-01-06 10:51:00+00:00,1.17134,1.17138,1.17132,1.17134,59
2026-01-06 10:52:00+00:00,1.17136,1.1714,1.17134,1.17136,71
2026-01-06 10:53:00+00:00,1.17136,1.17136,1.1712,1.1712,62
2026-01-06 10:54:00+00:00,1.17118,1.17125,1.17111,1.17124,62
2026-01-06 10:55:00+00:00,1.17122,1.17125,1.17118,1.17124,102
2026-01-06 10:56:00+00:00,1.17124,1.17129,1.17123,1.17127,60
2026-01-06 10:57:00+00:00,1.17126,1.17126,1.17116,1.17124,83
2026-01-06 10:58:00+00:00,1.17124,1.17124,1.17118,1.17122,110
2026-01-06 10:59:00+00:00,1.17122,1.17129,1.17121,1.17128,65
2026-01-06 11:00:00+00:00,1.17126,1.17126,1.17104,1.17104,82
2026-01-06 11:01:00+00:00,1.17104,1.17117,1.17104,1.17117,75
2026-01-06 11:02:00+00:00,1.17118,1.17124,1.17112,1.17122,61
2026-01-06 11:03:00+00:00,1.17122,1.17131,1.17111,1.17112,81
2026-01-06 11:04:00+00:00,1.17112,1.17112,1.171,1.17102,54
2026-01-06 11:05:00+00:00,1.17102,1.17102,1.17087,1.17088,43
2026-01-06 11:06:00+00:00,1.17088,1.17088,1.17074,1.17078,83
2026-01-06 11:07:00+00:00,1.17078,1.1708,1.1707,1.17072,72
2026-01-06 11:08:00+00:00,1.17071,1.17088,1.17071,1.17082,65
2026-01-06 11:09:00+00:00,1.1708,1.17087,1.1708,1.17081,52
2026-01-06 11:10:00+00:00,1.17082,1.17082,1.17056,1.17056,96
2026-01-06 11:11:00+00:00,1.17056,1.17061,1.1705,1.17058,111
2026-01-06 11:12:00+00:00,1.17057,1.17073,1.17054,1.17059,120
2026-01-06 11:13:00+00:00,1.17058,1.17073,1.17053,1.17071,59
2026-01-06 11:14:00+00:00,1.17069,1.17079,1.17069,1.17072,74
2026-01-06 11:15:00+00:00,1.17073,1.17075,1.17072,1.17074,64
2026-01-06 11:16:00+00:00,1.17074,1.17079,1.17067,1.17078,122
2026-01-06 11:17:00+00:00,1.17076,1.17076,1.17068,1.17068,55
2026-01-06 11:18:00+00:00,1.17069,1.17073,1.17063,1.17069,85
2026-01-06 11:19:00+00:00,1.17067,1.1707,1.17058,1.17058,81
2026-01-06 11:20:00+00:00,1.17058,1.17062,1.17054,1.17054,60
2026-01-06 11:21:00+00:00,1.17051,1.17084,1.1705,1.17084,89
2026-01-06 11:22:00+00:00,1.17083,1.17099,1.17083,1.17099,90
2026-01-06 11:23:00+00:00,1.17098,1.17102,1.17085,1.17094,95
2026-01-06 11:24:00+00:00,1.17095,1.17095,1.17091,1.17093,37
2026-01-06 11:25:00+00:00,1.17094,1.17094,1.17073,1.17082,91
2026-01-06 11:26:00+00:00,1.17082,1.17086,1.17072,1.17078,81
2026-01-06 11:27:00+00:00,1.1708,1.17084,1.17072,1.17074,79
2026-01-06 11:28:00+00:00,1.17074,1.17084,1.17073,1.17083,39
2026-01-06 11:29:00+00:00,1.17084,1.17096,1.17084,1.17088,89
2026-01-06 11:30:00+00:00,1.17088,1.171,1.17082,1.17098,80
2026-01-06 11:31:00+00:00,1.17097,1.17097,1.17083,1.1709,71
2026-01-06 11:32:00+00:00,1.17089,1.17096,1.17086,1.17094,91
2026-01-06 11:33:00+00:00,1.17095,1.17095,1.17081,1.17082,85
2026-01-06 11:34:00+00:00,1.17082,1.1709,1.1708,1.1709,58
2026-01-06 11:35:00+00:00,1.1709,1.17098,1.1709,1.17095,59
2026-01-06 11:36:00+00:00,1.17095,1.1711,1.17095,1.17108,97
2026-01-06 11:37:00+00:00,1.17107,1.17108,1.17098,1.17099,71
2026-01-06 11:38:00+00:00,1.17098,1.17099,1.17086,1.17086,50
2026-01-06 11:39:00+00:00,1.17086,1.17095,1.17086,1.17093,86
2026-01-06 11:40:00+00:00,1.17094,1.17094,1.17085,1.17086,44
2026-01-06 11:41:00+00:00,1.17084,1.17088,1.17078,1.17088,26
2026-01-06 11:42:00+00:00,1.17088,1.17088,1.17074,1.17078,71
2026-01-06 11:43:00+00:00,1.17078,1.17087,1.17076,1.17083,47
2026-01-06 11:44:00+00:00,1.17082,1.17092,1.17082,1.17088,61
2026-01-06 11:45:00+00:00,1.17088,1.17098,1.17087,1.17094,71
2026-01-06 11:46:00+00:00,1.17094,1.17094,1.17085,1.1709,41
2026-01-06 11:47:00+00:00,1.17088,1.1709,1.17082,1.17088,56
2026-01-06 11:48:00+00:00,1.17086,1.17086,1.17072,1.17073,58
2026-01-06 11:49:00+00:00,1.17074,1.17078,1.17066,1.17068,66
2026-01-06 11:50:00+00:00,1.17068,1.17072,1.17064,1.17068,75
2026-01-06 11:51:00+00:00,1.17067,1.17074,1.17066,1.17073,69
2026-01-06 11:52:00+00:00,1.17072,1.17073,1.1706,1.17072,79
2026-01-06 11:53:00+00:00,1.17071,1.17082,1.17071,1.17081,69
2026-01-06 11:54:00+00:00,1.1708,1.17081,1.17068,1.17068,57
2026-01-06 11:55:00+00:00,1.17067,1.17068,1.17052,1.1706,119
2026-01-06 11:56:00+00:00,1.1706,1.17064,1.1706,1.17063,80
2026-01-06 11:57:00+00:00,1.17062,1.17062,1.17052,1.17058,77
2026-01-06 11:58:00+00:00,1.17058,1.17064,1.17052,1.17063,101
2026-01-06 11:59:00+00:00,1.17064,1.17064,1.17058,1.17062,81
2026-01-06 12:00:00+00:00,1.17062,1.17084,1.17062,1.17082,84
2026-01-06 12:01:00+00:00,1.17082,1.1709,1.17076,1.17089,131
2026-01-06 12:02:00+00:00,1.17088,1.17098,1.17088,1.1709,76
2026-01-06 12:03:00+00:00,1.17092,1.17096,1.1709,1.17096,48
2026-01-06 12:04:00+00:00,1.17095,1.17098,1.17086,1.17088,65
2026-01-06 12:05:00+00:00,1.1709,1.17102,1.17089,1.17094,68
2026-01-06 12:06:00+00:00,1.17092,1.171,1.1709,1.17096,70
2026-01-06 12:07:00+00:00,1.17094,1.17096,1.1709,1.17096,72
2026-01-06 12:08:00+00:00,1.17096,1.17104,1.17096,1.17101,118
2026-01-06 12:09:00+00:00,1.17102,1.17117,1.17102,1.17107,133
2026-01-06 12:10:00+00:00,1.17106,1.17116,1.17103,1.17116,55
2026-01-06 12:11:00+00:00,1.17116,1.17116,1.17102,1.17102,49
2026-01-06 12:12:00+00:00,1.17102,1.17102,1.17092,1.17102,49
2026-01-06 12:13:00+00:00,1.17102,1.1711,1.171,1.17107,86
2026-01-06 12:14:00+00:00,1.17108,1.17118,1.17107,1.17118,50
2026-01-06 12:15:00+00:00,1.17118,1.17122,1.17107,1.17117,85
2026-01-06 12:16:00+00:00,1.17116,1.17122,1.17112,1.17113,64
2026-01-06 12:17:00+00:00,1.17112,1.1712,1.1711,1.17119,67
2026-01-06 12:18:00+00:00,1.17118,1.1712,1.17108,1.17111,57
2026-01-06 12:19:00+00:00,1.17112,1.17115,1.17103,1.17104,106
2026-01-06 12:20:00+00:00,1.17104,1.17113,1.17097,1.17106,92
2026-01-06 12:21:00+00:00,1.17106,1.17108,1.17098,1.17104,37
2026-01-06 12:22:00+00:00,1.17103,1.17111,1.17103,1.1711,51
2026-01-06 12:23:00+00:00,1.17108,1.1711,1.17104,1.17108,49
2026-01-06 12:24:00+00:00,1.17109,1.1711,1.17102,1.17102,48
2026-01-06 12:25:00+00:00,1.17101,1.17102,1.17084,1.17088,99
2026-01-06 12:26:00+00:00,1.17087,1.17088,1.17072,1.17086,91
2026-01-06 12:27:00+00:00,1.17086,1.17092,1.17074,1.17074,93
2026-01-06 12:28:00+00:00,1.17074,1.17079,1.17063,1.17066,104
2026-01-06 12:29:00+00:00,1.17066,1.17074,1.17062,1.17064,64
2026-01-06 12:30:00+00:00,1.17064,1.17064,1.17048,1.17053,82
2026-01-06 12:31:00+00:00,1.17052,1.1707,1.1705,1.1707,89
2026-01-06 12:32:00+00:00,1.17067,1.17072,1.17062,1.1707,72
2026-01-06 12:33:00+00:00,1.17069,1.1707,1.17063,1.17064,106
2026-01-06 12:34:00+00:00,1.17064,1.17064,1.17056,1.17058,58
2026-01-06 12:35:00+00:00,1.17058,1.17076,1.17057,1.17074,165
2026-01-06 12:36:00+00:00,1.17074,1.17074,1.17068,1.17072,94
2026-01-06 12:37:00+00:00,1.1707,1.17071,1.1705,1.17052,74
2026-01-06 12:38:00+00:00,1.17052,1.17062,1.17048,1.17056,88
2026-01-06 12:39:00+00:00,1.17055,1.1706,1.1705,1.1706,65
2026-01-06 12:40:00+00:00,1.1706,1.1706,1.17034,1.17038,113
2026-01-06 12:41:00+00:00,1.17039,1.17043,1.17022,1.17022,86
2026-01-06 12:42:00+00:00,1.1702,1.17024,1.16996,1.16997,153
2026-01-06 12:43:00+00:00,1.16999,1.17002,1.16994,1.16998,126
2026-01-06 12:44:00+00:00,1.16998,1.17028,1.16998,1.17026,140
2026-01-06 12:45:00+00:00,1.17024,1.17038,1.17022,1.17035,90
2026-01-06 12:46:00+00:00,1.17036,1.17037,1.17016,1.17018,49
2026-01-06 12:47:00+00:00,1.17018,1.1702,1.17008,1.17014,103
2026-01-06 12:48:00+00:00,1.17014,1.17018,1.1701,1.17018,65
2026-01-06 12:49:00+00:00,1.17017,1.17018,1.1701,1.17013,78
2026-01-06 12:50:00+00:00,1.17014,1.17034,1.17013,1.17026,145
2026-01-06 12:51:00+00:00,1.17026,1.17046,1.1702,1.17046,131
2026-01-06 12:52:00+00:00,1.17046,1.17046,1.17036,1.17038,113
2026-01-06 12:53:00+00:00,1.17039,1.1704,1.17016,1.17016,105
2026-01-06 12:54:00+00:00,1.17016,1.17022,1.17012,1.17016,114
2026-01-06 12:55:00+00:00,1.17016,1.17016,1.16982,1.16988,114
2026-01-06 12:56:00+00:00,1.16988,1.16988,1.16972,1.16982,132
2026-01-06 12:57:00+00:00,1.16982,1.17014,1.16982,1.17014,84
2026-01-06 12:58:00+00:00,1.17014,1.17016,1.17009,1.17009,86
2026-01-06 12:59:00+00:00,1.1701,1.17015,1.17009,1.17014,86
2026-01-06 13:00:00+00:00,1.17014,1.17016,1.16977,1.16984,225
2026-01-06 13:01:00+00:00,1.16985,1.16992,1.16982,1.16988,98
2026-01-06 13:02:00+00:00,1.1699,1.17006,1.16985,1.16986,107
2026-01-06 13:03:00+00:00,1.16988,1.16993,1.16975,1.16988,131
2026-01-06 13:04:00+00:00,1.16988,1.16996,1.16978,1.16993,119
2026-01-06 13:05:00+00:00,1.16994,1.17014,1.16989,1.17014,93
2026-01-06 13:06:00+00:00,1.17013,1.17042,1.17012,1.17032,162
2026-01-06 13:07:00+00:00,1.17032,1.1704,1.17025,1.17036,152
2026-01-06 13:08:00+00:00,1.17036,1.17054,1.17028,1.17054,176
2026-01-06 13:09:00+00:00,1.17052,1.17076,1.17052,1.17068,211
2026-01-06 13:10:00+00:00,1.17067,1.17072,1.17061,1.17068,129
2026-01-06 13:11:00+00:00,1.17067,1.17067,1.17048,1.17064,136
2026-01-06 13:12:00+00:00,1.17065,1.17092,1.17065,1.17082,189
2026-01-06 13:13:00+00:00,1.1708,1.17092,1.17072,1.17087,177
2026-01-06 13:14:00+00:00,1.17086,1.17088,1.1707,1.17072,107
2026-01-06 13:15:00+00:00,1.17072,1.17076,1.17054,1.17061,170
2026-01-06 13:16:00+00:00,1.1706,1.17074,1.17052,1.17052,147
2026-01-06 13:17:00+00:00,1.1705,1.17056,1.17036,1.17044,91
2026-01-06 13:18:00+00:00,1.17044,1.1705,1.17042,1.17044,89
2026-01-06 13:19:00+00:00,1.17044,1.17085,1.17044,1.17083,165
2026-01-06 13:20:00+00:00,1.17083,1.17084,1.17062,1.17074,172
2026-01-06 13:21:00+00:00,1.17074,1.17088,1.17062,1.17086,168
2026-01-06 13:22:00+00:00,1.17087,1.1709,1.17077,1.17078,128
2026-01-06 13:23:00+00:00,1.17076,1.17078,1.17065,1.17067,140
2026-01-06 13:24:00+00:00,1.17066,1.17072,1.17058,1.1706,77
2026-01-06 13:25:00+00:00,1.17061,1.1707,1.1706,1.17062,81
2026-01-06 13:26:00+00:00,1.17062,1.17078,1.17062,1.17078,116
2026-01-06 13:27:00+00:00,1.17077,1.1709,1.1707,1.17078,119
2026-01-06 13:28:00+00:00,1.17078,1.17083,1.17064,1.17072,83
2026-01-06 13:29:00+00:00,1.1707,1.1707,1.1706,1.17068,108
2026-01-06 13:30:00+00:00,1.1707,1.1707,1.1706,1.17062,112
2026-01-06 13:31:00+00:00,1.17064,1.1708,1.17061,1.17076,114
2026-01-06 13:32:00+00:00,1.17077,1.17086,1.17076,1.17086,41
2026-01-06 13:33:00+00:00,1.17085,1.17085,1.17078,1.1708,58
2026-01-06 13:34:00+00:00,1.17081,1.17085,1.17075,1.17084,109
2026-01-06 13:35:00+00:00,1.17084,1.17106,1.17084,1.17106,116
2026-01-06 13:36:00+00:00,1.17104,1.17136,1.17102,1.17134,177
2026-01-06 13:37:00+00:00,1.17134,1.17137,1.17112,1.17113,93
2026-01-06 13:38:00+00:00,1.17116,1.17117,1.1711,1.17115,70
2026-01-06 13:39:00+00:00,1.17114,1.17122,1.1711,1.17114,73
2026-01-06 13:40:00+00:00,1.17113,1.17122,1.17107,1.17116,143
2026-01-06 13:41:00+00:00,1.17118,1.1712,1.17109,1.1711,103
2026-01-06 13:42:00+00:00,1.1711,1.17117,1.17109,1.17112,92
2026-01-06 13:43:00+00:00,1.17112,1.17125,1.17111,1.17118,104
2026-01-06 13:44:00+00:00,1.17119,1.17124,1.17102,1.17104,110
2026-01-06 13:45:00+00:00,1.17104,1.17104,1.17088,1.17088,62
2026-01-06 13:46:00+00:00,1.1709,1.1709,1.17072,1.17081,135
2026-01-06 13:47:00+00:00,1.1708,1.17083,1.17068,1.17071,60
2026-01-06 13:48:00+00:00,1.17072,1.17073,1.1706,1.1706,133
2026-01-06 13:49:00+00:00,1.17062,1.17078,1.17062,1.17074,77
2026-01-06 13:50:00+00:00,1.17073,1.17075,1.1705,1.17064,263
2026-01-06 13:51:00+00:00,1.17064,1.17089,1.17063,1.17088,134
2026-01-06 13:52:00+00:00,1.17089,1.17093,1.17072,1.17077,159
2026-01-06 13:53:00+00:00,1.17078,1.17102,1.17078,1.17101,113
2026-01-06 13:54:00+00:00,1.17102,1.17109,1.17098,1.17107,147
2026-01-06 13:55:00+00:00,1.17108,1.17123,1.17108,1.1711,148
2026-01-06 13:56:00+00:00,1.17111,1.17115,1.17104,1.17108,73
2026-01-06 13:57:00+00:00,1.17108,1.17118,1.17097,1.17112,128
2026-01-06 13:58:00+00:00,1.17112,1.17114,1.17106,1.17112,147
2026-01-06 13:59:00+00:00,1.17112,1.17114,1.17104,1.1711,138
2026-01-06 14:00:00+00:00,1.1711,1.17125,1.1711,1.17122,157
2026-01-06 14:01:00+00:00,1.17123,1.17144,1.17122,1.1714,154
2026-01-06 14:02:00+00:00,1.1714,1.17144,1.17133,1.1714,102
2026-01-06 14:03:00+00:00,1.17138,1.1714,1.17128,1.17132,118
2026-01-06 14:04:00+00:00,1.17132,1.17144,1.1713,1.17143,96
2026-01-06 14:05:00+00:00,1.17143,1.17144,1.17131,1.17142,75
2026-01-06 14:06:00+00:00,1.17144,1.17164,1.17142,1.17158,81
2026-01-06 14:07:00+00:00,1.17158,1.17171,1.17154,1.17168,93
2026-01-06 14:08:00+00:00,1.17168,1.17176,1.1716,1.1716,123
2026-01-06 14:09:00+00:00,1.1716,1.17162,1.17146,1.17155,90
2026-01-06 14:10:00+00:00,1.17156,1.17164,1.17148,1.17148,62
2026-01-06 14:11:00+00:00,1.17146,1.17148,1.17127,1.17134,113
2026-01-06 14:12:00+00:00,1.17136,1.17156,1.17136,1.17152,95
2026-01-06 14:13:00+00:00,1.17152,1.17152,1.17135,1.17136,55
2026-01-06 14:14:00+00:00,1.17136,1.17144,1.17136,1.17138,78
2026-01-06 14:15:00+00:00,1.17136,1.1714,1.17132,1.17132,91
2026-01-06 14:16:00+00:00,1.17132,1.17132,1.17102,1.17103,92
2026-01-06 14:17:00+00:00,1.17104,1.1711,1.17098,1.17101,101
2026-01-06 14:18:00+00:00,1.171,1.17101,1.17065,1.17071,146
2026-01-06 14:19:00+00:00,1.1707,1.17084,1.17062,1.17082,179
