market,signal,time,entry_price,stop_loss_price,take_profit_price,position_lots,risk_amount,original_stop_pips,buffer_pips,adjusted_stop_pips,take_profit_ratio,highest_ratio,potential_profit,actual_profit,lowest_ratio,potential_loss,position_status,take_profit_hit,stop_loss_hit
BEAR,SHORT,N/A,1.16565,1.16685,N/A,1.030,100.00,N/A,3,N/A,N/A,0.00,18.53,0.00,0.00,-96.77,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-13 07:03:24,1.16624,1.16733,N/A,1.548,100.00,7.9,3,10.9,0.4,0.29,29.41,0.00,-0.14,-13.93,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,N/A,1.16431,1.16507,1.16379,1.071,100.00,N/A,3,N/A,N/A,0.00,43.92,0.00,0.00,-43.92,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-14 09:40:03,1.16468,1.16604,1.16403,0.642,100.00,16.4,3,19.4,0.4,0.38,37.89,0.00,-0.16,-16.06,CLOSED,UNKNOWN,UNKNOWN
