market,signal,time,entry_price,stop_loss_price,take_profit_price,position_lots,risk_amount,original_stop_pips,buffer_pips,adjusted_stop_pips,take_profit_ratio,highest_ratio,potential_profit,actual_profit,lowest_ratio,potential_loss,position_status,take_profit_hit,stop_loss_hit
BEAR,SHORT,N/A,1.16565,1.16685,N/A,1.030,100.00,N/A,3,N/A,N/A,0.00,18.53,0.00,0.00,-96.77,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-13 06:59:55,1.16629,1.16733,N/A,1.104,100.00,7.4,3,10.4,0.6,0.83,82.77,0.00,-0.30,-29.80,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,N/A,1.16431,1.16403,1.16353,1.071,100.00,N/A,3,N/A,N/A,0.00,18.21,0.00,0.00,-34.28,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-14 09:40:01,1.16469,1.16604,1.16371,0.642,100.00,16.3,3,19.3,0.6,0.62,61.65,0.00,-0.15,-15.41,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-14 16:30:02,1.16417,1.16504,1.16385,1.795,100.00,5.7,3,8.7,0.6,0.56,55.63,0.00,-0.43,-43.07,CLOSED,UNKNOWN,UNKNOWN
