fr,market,signal,time,tradeID,entry_price,stop_loss,take_profit,lots_size,risk_amount,spread_buffer_pips,risk_reward_ratio,top_price,bottom_price,max_profit,max_loss,realized_profit_loss,close_time,position_status,close_reason,take_profit_hit,stop_loss_hit
EUR_USD,BEAR,SHORT,2026-01-15 21:20:04,269,1.16078,1.16169,1.16041,1.890,100.00,3,1.0:1,1.16143,1.16044,$64.25,$-122.84,-$75.59,2026-01-15 23:20:10,CLOSED,EMERGENCY_CLOSE,NO,NO
EUR_USD,BEAR,SHORT,2026-01-16 07:30:01,279,1.16014,1.16281,1.15872,0.449,100.00,3,0.6:1,1.16080,1.15918,$43.14,$-29.66,$63.81,2026-01-16 07:42:32,CLOSED,TP_HIT,YES,NO
