market,signal,time,entry_price,stop_loss_price,take_profit_price,position_lots,risk_amount,original_stop_pips,buffer_pips,adjusted_stop_pips,take_profit_ratio,highest_ratio,potential_profit,actual_profit,position_status,take_profit_hit,stop_loss_hit
BEAR,SELL,"Jan 08, 05:40PM",1.16488,1.16630,1.16346,2.88,$300,10.4,3,14.2,1.0:1,0.20:1,$80.53,$-238.72,MARKET_CLOSE,NO,NO
BEAR,SELL,"Jan 08, 09:35PM",1.16508,1.16615,1.16401,4.29,$300,7.0,3,10.7,1.0:1,1.28:1,$591.53,$460.74,TP_HIT,YES,NO
