market,signal,time,entry_price,stop_loss_price,take_profit_price,position_lots,risk_amount,original_stop_pips,buffer_pips,adjusted_stop_pips,take_profit_ratio,highest_ratio,potential_profit,actual_profit,lowest_ratio,potential_loss,position_status,take_profit_hit,stop_loss_hit
BEAR,SHORT,N/A,1.16565,1.16685,N/A,1.030,100.00,N/A,3,N/A,N/A,0.00,18.53,0.00,0.00,-96.77,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-13 07:00:27,1.16640,1.16733,N/A,1.548,100.00,6.3,3,9.3,0.9,1.32,131.56,0.00,-0.25,-24.76,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,N/A,1.16431,1.16403,1.16314,1.071,100.00,N/A,3,N/A,N/A,0.00,-10.71,0.00,0.00,-34.28,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-13 21:49:50,1.16419,1.16438,1.16372,1.894,100.00,5.4,3,8.4,0.9,-0.08,-7.58,0.00,-1.14,-113.64,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-14 09:40:02,1.16468,1.16468,1.16321,0.642,100.00,16.4,3,19.4,0.9,0.67,66.79,0.00,-0.16,-16.06,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-14 16:30:02,1.16417,1.16504,1.16368,1.795,100.00,5.7,3,8.7,0.9,0.77,77.17,0.00,-0.43,-43.07,CLOSED,UNKNOWN,UNKNOWN
