market,signal,time,tradeID,entry_price,stop_loss_price,take_profit_price,position_lots,risk_amount,original_stop_pips,buffer_pips,adjusted_stop_pips,take_profit_ratio,highest_ratio,potential_profit,actual_profit,lowest_ratio,potential_loss,position_status,take_profit_hit,stop_loss_hit
BEAR,SHORT,N/A,274,1.16361,1.16434,1.16305,1.023,100.00,N/A,3,N/A,N/A,0.00,34.77,0.00,0.00,-25.57,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-15 04:56:53,294,1.16230,1.16425,1.16148,0.842,100.00,16.5,3,19.5,0.5,0.00,0.00,0.00,-0.22,-21.88,CLOSED,UNKNOWN,UNKNOWN
BEAR,LONG,2026-01-15 10:10:05,302,1.16147,1.16050,1.16211,0.651,100.00,16.1,3,19.1,0.4,0.13,13.03,0.00,-0.57,-57.32,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,N/A,320,1.16040,1.16134,1.15973,0.790,100.00,N/A,3,N/A,N/A,0.00,-22.92,0.00,0.00,-72.72,CLOSED,FALSE,FALSE
