market,signal,time,entry_price,stop_loss_price,take_profit_price,position_lots,risk_amount,original_stop_pips,buffer_pips,adjusted_stop_pips,take_profit_ratio,highest_ratio,potential_profit,actual_profit,lowest_ratio,potential_loss,position_status,take_profit_hit,stop_loss_hit
BEAR,SHORT,N/A,1.16565,1.16685,N/A,1.030,100.00,N/A,3,N/A,N/A,0.00,18.53,0.00,0.00,-96.77,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-13 07:00:19,1.16637,1.16733,N/A,1.548,100.00,6.6,3,9.6,0.8,1.08,108.34,0.00,-0.31,-30.95,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,N/A,1.16431,1.16403,1.16327,1.071,100.00,N/A,3,N/A,N/A,0.00,18.21,0.00,0.00,-34.28,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-13 21:49:51,1.16419,1.16438,1.16378,1.894,100.00,5.4,3,8.4,0.8,-0.06,-5.68,0.00,-1.14,-113.64,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-14 09:40:01,1.16469,1.16468,1.16339,0.642,100.00,16.3,3,19.3,0.8,0.68,68.08,0.00,-0.15,-15.41,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-14 16:30:02,1.16417,1.16504,1.16373,1.795,100.00,5.7,3,8.7,0.8,0.74,73.58,0.00,-0.43,-43.07,CLOSED,UNKNOWN,UNKNOWN
