market,signal,time,tradeID,entry_price,stop_loss_price,take_profit_price,position_lots,risk_amount,original_stop_pips,buffer_pips,adjusted_stop_pips,take_profit_ratio,highest_ratio,potential_profit,actual_profit,lowest_ratio,potential_loss,position_status,take_profit_hit,stop_loss_hit
BEAR,SHORT,N/A,344,1.16387,1.16434,1.16318,1.044,100.00,N/A,3,N/A,N/A,0.00,42.80,0.00,0.00,1.04,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,2026-01-15 04:56:56,364,1.16230,1.16414,1.16098,0.842,100.00,16.5,3,19.5,0.8,0.77,76.58,0.00,-0.21,-21.04,CLOSED,UNKNOWN,UNKNOWN
BEAR,LONG,2026-01-15 10:10:07,374,1.16146,1.16050,1.16242,0.651,100.00,16.0,3,19.0,0.6,0.14,13.68,0.00,-0.57,-56.67,CLOSED,UNKNOWN,UNKNOWN
BEAR,SHORT,N/A,392,1.16040,1.16134,1.15932,0.790,100.00,N/A,3,N/A,N/A,0.00,-22.92,0.00,0.00,-72.72,CLOSED,FALSE,FALSE
